 Not Normalized
r        289.774344
Mass:            74096121914.866579
 n:		m:		C:		S:
  0    0       1.0000000E+00       0.0000000E+00
  1    0       2.1545696E-05       0.0000000E+00
  1    1       1.5030737E-04      -3.1032743E-06
  2    0      -2.8264622E-02       0.0000000E+00
  2    1       1.3719457E-06      -1.3425662E-07
  2    2       2.6969689E-03      -5.3982740E-06
  3    0       8.9859714E-03       0.0000000E+00
  3    1       1.0285039E-03       1.0152399E-03
  3    2       2.1753826E-05       2.2954929E-05
  3    3       2.2414317E-04      -7.7688388E-05
  4    0       1.5945189E-02       0.0000000E+00
  4    1       1.9971884E-04       9.1852075E-04
  4    2      -2.5053033E-04       8.7344928E-05
  4    3      -3.3275479E-05       2.9055773E-06
  4    4       2.3947191E-05       3.4124413E-05
  5    0      -1.9143640E-03       0.0000000E+00
  5    1       2.0713087E-04      -4.1788926E-05
  5    2       3.6788526E-05      -8.8653134E-05
  5    3       5.9700146E-06       2.8704804E-06
  5    4       4.7839427E-06      -1.5029421E-06
  5    5       5.4450798E-07       5.9997348E-07
  6    0      -3.3880350E-03       0.0000000E+00
  6    1       3.5032387E-04      -9.3651971E-06
  6    2       3.4467426E-05      -1.3498088E-05
  6    3       1.0520645E-05      -7.5062734E-06
  6    4      -7.5171068E-07      -9.9541588E-07
  6    5       4.2447140E-08      -1.7527133E-07
  6    6       6.2035740E-08      -2.9571149E-09
  7    0       1.1060811E-03       0.0000000E+00
  7    1       1.2040838E-04       7.8057602E-05
  7    2       1.3391124E-06       2.5729814E-06
  7    3       1.6182732E-07      -8.1730514E-07
  7    4      -1.5426714E-08       1.1347929E-07
  7    5      -7.3838247E-08       1.5887688E-09
  7    6      -6.7912956E-09       7.4592830E-09
  7    7       5.7264210E-09      -2.2932176E-09
  8    0       1.9924695E-03       0.0000000E+00
  8    1      -3.2552709E-05       9.1441477E-05
  8    2      -9.1360420E-06      -2.1637708E-06
  8    3      -1.1504211E-07      -1.0521869E-07
  8    4       2.5182218E-07       3.3518171E-07
  8    5       1.1037901E-08      -9.0236039E-10
  8    6      -4.4425129E-09       2.1164431E-09
  8    7       5.2041887E-10       4.2149283E-10
  8    8      -3.2298182E-10      -4.2343740E-11
  9    0      -5.4894421E-04       0.0000000E+00
  9    1       4.7149152E-05      -2.1427093E-05
  9    2       8.9376456E-07      -2.4713817E-06
  9    3       5.3953971E-07      -4.0371792E-08
  9    4       4.0608634E-08       2.5094798E-09
  9    5       3.0021399E-09      -1.0211212E-09
  9    6       4.3444798E-10      -1.1865438E-09
  9    7      -1.2336575E-10       6.0708084E-11
  9    8      -3.0807775E-12      -1.4343778E-11
  9    9       6.2865656E-12       2.1267974E-12
 10    0      -8.6165487E-04       0.0000000E+00
 10    1       5.7841327E-05      -2.2622954E-05
 10    2       5.4458586E-06      -1.1301784E-06
 10    3       4.4238589E-07      -3.1571314E-07
 10    4      -3.6059980E-08      -3.9925740E-08
 10    5       2.5211157E-10       2.0103880E-09
 10    6       4.5181457E-10      -8.5892274E-11
 10    7       2.1372933E-12      -3.1364198E-11
 10    8       5.9339059E-12      -5.0142399E-13
 10    9      -9.5062020E-13       6.1123682E-13
 10   10      -7.7307293E-14       1.4210425E-13
 11    0       3.4588924E-04       0.0000000E+00
 11    1      -4.4376309E-06       2.0907416E-05
 11    2      -3.9120509E-07       9.7777300E-07
 11    3       3.9030370E-08      -7.4510909E-08
 11    4       1.4166715E-09       3.7520867E-09
 11    5      -1.1807102E-09      -1.6292488E-10
 11    6      -1.6426460E-11       1.4758134E-10
 11    7       1.3131737E-11      -4.9263880E-12
 11    8       2.8477957E-13       6.5865500E-13
 11    9      -2.5612464E-13      -1.4856013E-13
 11   10       1.9908079E-15       3.5053848E-15
 11   11       6.0558103E-15       2.4034420E-15
 12    0       5.4079399E-04       0.0000000E+00
 12    1      -7.4210384E-06       1.9443143E-05
 12    2      -2.5267139E-06       2.9861277E-07
 12    3      -3.8218127E-08       2.6670103E-08
 12    4       1.9066912E-08       1.7898681E-08
 12    5      -2.9088212E-10      -1.5965673E-10
 12    6      -1.0001512E-10      -2.2011393E-11
 12    7       3.2992554E-12       3.7265669E-12
 12    8      -4.9032578E-13       1.4423395E-14
 12    9       5.7885981E-14      -1.4032282E-14
 12   10      -5.7381575E-15      -8.8755685E-15
 12   11       3.3672511E-16       1.3760110E-15
 12   12       1.9542754E-16       3.2630405E-17
 13    0      -2.3624344E-04       0.0000000E+00
 13    1       1.7346841E-05      -8.3650192E-06
 13    2       2.6175090E-07      -1.5789963E-07
 13    3       2.7927785E-08       1.2781996E-08
 13    4       3.2842432E-09      -4.5695865E-10
 13    5       4.8224586E-10       1.5825633E-10
 13    6       2.3299866E-11      -3.5284580E-11
 13    7      -1.8499313E-12       5.1947952E-14
 13    8       9.0455876E-14       6.5410007E-14
 13    9       1.4747075E-14       1.9594470E-14
 13   10       8.4251930E-16      -2.6028822E-16
 13   11      -1.0722732E-16      -1.7414871E-17
 13   12      -1.5158187E-17       2.0295271E-17
 13   13      -9.7254061E-19       1.2694973E-17
 14    0      -3.5345104E-04       0.0000000E+00
 14    1       8.4388905E-06      -6.7607272E-06
 14    2       1.5385390E-06      -3.9738882E-08
 14    3       4.7703253E-08      -3.7102914E-08
 14    4      -5.4200570E-09      -5.1121755E-09
 14    5       6.2227115E-11       7.7047351E-11
 14    6       2.8235202E-11       1.3709002E-12
 14    7      -3.1412103E-13      -6.7937193E-13
 14    8       6.6344483E-14      -5.6278126E-14
 14    9      -7.9088050E-15       3.9148925E-15
 14   10       3.3693789E-16       6.0508472E-16
 14   11      -1.6644881E-17      -5.4250762E-17
 14   12      -3.0765183E-18      -8.7859928E-18
 14   13       5.3526548E-21      -1.3317863E-20
 14   14      -1.3189993E-19       1.8890948E-19
 15    0       1.2912924E-04       0.0000000E+00
 15    1      -4.6527636E-06       7.6079859E-06
 15    2      -2.0008698E-07       2.2180142E-07
 15    3       7.0571632E-09      -1.4648332E-08
 15    4       5.3401687E-10       8.2114201E-10
 15    5      -1.7800840E-10       6.3557586E-12
 15    6      -1.7405026E-12       8.0563333E-12
 15    7       7.1938569E-13       1.4089907E-16
 15    8       6.9003948E-18      -4.3364222E-16
 15    9      -3.3339999E-15      -3.7844664E-15
 15   10      -1.0860471E-16       2.7797333E-17
 15   11       2.5341671E-17       5.4781580E-18
 15   12       6.1765025E-19       1.3710419E-19
 15   13      -1.0462590E-19      -3.6130892E-19
 15   14       4.4108691E-22       1.8341100E-20
 15   15       7.2352163E-21       1.0230687E-20
 16    0       1.9749904E-04       0.0000000E+00
 16    1      -1.0320231E-06       6.9911510E-06
 16    2      -8.1769902E-07      -2.6497914E-08
 16    3      -1.7350516E-08       6.5712258E-09
