 Not Normalized
r    6378137.000000
Mass:  5972200000000000000000000.000000
 n:		m:		C:		S:
  0    0       1.0000000E+00       0.0000000E+00
  1    0       0.0000000E+00       0.0000000E+00
  1    1       0.0000000E+00       0.0000000E+00
  2    0      -1.0826262E-03       0.0000000E+00
  2    1      -2.6673948E-10       1.7872706E-09
  2    2       1.5746153E-06      -9.0387279E-07
  3    0       2.5324105E-06       0.0000000E+00
  3    1       2.1931496E-06       2.6808709E-07
  3    2       3.0904390E-07      -2.1143062E-07
  3    3       1.0058351E-07       1.9722158E-07
  4    0       1.6198976E-06       0.0000000E+00
  4    1      -5.0864356E-07      -4.4926543E-07
  4    2       7.8374546E-08       1.4813504E-07
  4    3       5.9215018E-08      -1.2009461E-08
  4    4      -3.9832042E-09       6.5246729E-09
  5    0       2.2775359E-07       0.0000000E+00
  5    1      -5.3882490E-08      -8.0813475E-08
  5    2       1.0552887E-07      -5.2329773E-08
  5    3      -1.4926488E-08      -7.1009173E-09
  5    4      -2.2995114E-09       3.8781150E-10
  5    5       4.3042804E-10      -1.6481719E-09
  6    0      -5.4066658E-07       0.0000000E+00
  6    1      -5.9734330E-08       2.0859734E-08
  6    2       6.0520846E-09      -4.6500640E-08
  6    3       1.1869149E-09       1.8561001E-10
  6    4      -3.2564075E-10      -1.7845688E-09
  6    5      -2.1562082E-10      -4.3298515E-10
  6    6       2.2064785E-12      -5.5305284E-11
  7    0       3.5055180E-07       0.0000000E+00
  7    1       2.0558864E-07       6.9625056E-08
  7    2       3.2909424E-08       9.2627158E-09
  7    3       3.5279332E-09      -3.0583074E-09
  7    4      -5.8395786E-10      -2.6344174E-10
  7    5       5.8316824E-13       6.3451706E-12
  7    6      -2.4904108E-11       1.0536279E-11
  7    7       2.7964278E-14       4.4719547E-13
  8    0       2.0399313E-07       0.0000000E+00
  8    1       1.5915737E-08       4.0473404E-08
  8    2       6.5719179E-09       5.3617640E-09
  8    3      -1.9587706E-10      -8.6909751E-10
  8    4      -3.1893895E-10       9.1112326E-11
  8    5      -4.6518686E-12       1.6145696E-11
  8    6      -1.8423111E-12       8.6284718E-12
  8    7       3.4294698E-13       3.8175910E-13
  8    8      -1.5809972E-13       1.5367516E-13
  9    0       1.2212796E-07       0.0000000E+00
  9    1       9.2368016E-08       1.3905730E-08
  9    2       1.4833235E-09      -2.1956687E-09
  9    3      -1.2138598E-09      -5.6127912E-10
  9    4      -8.0142660E-12       1.7031531E-11
  9    5      -1.6685448E-12      -5.5271905E-12
  9    6       8.2907518E-13       2.9440773E-12
  9    7      -2.2486395E-13      -1.8472272E-13
  9    8       6.1493595E-14      -9.8233211E-16
  9    9      -3.6638215E-15       7.4637538E-15
 10    0       2.4439077E-07       0.0000000E+00
 10    1       5.1757937E-08      -8.1003837E-08
 10    2      -5.5885052E-09      -3.0487328E-09
 10    3      -4.0854328E-11      -8.9870035E-10
 10    4      -4.9750463E-11      -4.6542988E-11
 10    5      -3.0599832E-12      -3.1421998E-12
 10    6      -2.6087586E-13      -5.5367366E-13
 10    7       6.9543426E-15      -2.5664258E-15
 10    8       4.6502415E-15      -1.0505195E-14
 10    9       2.3296675E-15      -7.0504451E-16
 10   10       4.1730320E-16      -9.9134739E-17
 11    0      -2.4347659E-07       0.0000000E+00
 11    1       9.2166236E-09      -1.6011731E-08
 11    2       1.0413782E-09      -5.1257474E-09
 11    3      -1.4103759E-10      -6.8650085E-10
 11    4      -1.5979200E-11      -2.6849753E-11
 11    5       1.4887794E-12       1.9730433E-12
 11    6      -6.1624429E-15       1.3501868E-13
 11    7       1.9328491E-15      -3.7300299E-14
 11    8      -3.0017032E-16       1.1691337E-15
 11    9      -1.9107857E-16       2.5869387E-16
 11   10      -4.9573259E-17      -1.7479750E-17
 11   11       9.3531441E-18      -1.4094460E-17
 12    0       1.8218096E-07       0.0000000E+00
 12    1      -3.0336887E-08      -2.4437711E-08
 12    2       6.5085259E-10       1.4185184E-09
 12    3       1.4758545E-10       9.3354873E-11
 12    4      -2.1023580E-11       1.1914258E-12
 12    5       8.2188058E-13       2.0204392E-13
 12    6       7.4320560E-15       9.2432491E-14
 12    7      -4.2312066E-15       7.9345662E-15
 12    8      -5.7491652E-16       3.7613666E-16
 12    9       1.0156772E-16       6.0489202E-17
 12   10      -1.8491704E-18       9.2285708E-18
 12   11       4.9979043E-19      -2.8082351E-19
 12   12      -2.1758252E-20      -9.9639259E-20
 13    0       2.1683181E-07       0.0000000E+00
 13    1      -2.8020758E-08       2.1075199E-08
 13    2       2.2456555E-09      -2.5453841E-09
 13    3      -6.5971704E-11       2.9895367E-10
 13    4      -8.5701646E-13      -2.7582207E-12
 13    5       1.0764108E-12       1.2396925E-12
 13    6      -5.2418587E-14      -9.3838161E-15
 13    7       3.8103251E-16      -9.2544931E-16
 13    8      -1.1321928E-16      -1.1101934E-16
 13    9       2.6598067E-17       4.9273587E-17
 13   10       4.6020587E-18      -4.1242931E-18
 13   11      -5.8739098E-19      -6.3875007E-20
 13   12      -5.8425117E-20       1.6407745E-19
 13   13      -2.2394540E-20       2.4937572E-20
