 Not Normalized
r        311.869257
Mass:                29755310569.788348
 n:		m:		C:		S:
  0    0       1.0000000E+00       0.0000000E+00
  1    0      -1.4503719E-04       0.0000000E+00
  1    1       4.8497911E-04       4.7243768E-05
  2    0      -8.8621786E-02       0.0000000E+00
  2    1       2.5959795E-04       1.3701325E-04
  2    2       3.8517395E-02      -3.7836438E-03
  3    0       1.3587001E-02       0.0000000E+00
  3    1      -4.6034529E-03      -7.8199273E-04
  3    2      -2.3039501E-03      -3.7798108E-04
  3    3       1.4771270E-03       4.8853607E-04
  4    0       1.9821452E-02       0.0000000E+00
  4    1       2.3912940E-03       2.1030311E-04
  4    2      -2.0625268E-03       1.9448726E-04
  4    3      -1.4218317E-04      -4.6417384E-05
  4    4       2.3562596E-04      -2.5667623E-05
  5    0      -8.5372328E-03       0.0000000E+00
  5    1       1.1720039E-03       1.7434795E-04
  5    2       5.6689188E-04       5.0212804E-05
  5    3      -8.0074698E-05      -2.1773303E-05
  5    4      -2.3510605E-05      -3.9019624E-06
  5    5       1.2282766E-05       3.0750052E-06
  6    0      -4.8590794E-03       0.0000000E+00
  6    1      -1.3420187E-03      -8.6797063E-05
  6    2       2.3539894E-04      -3.6928486E-05
  6    3       3.5341409E-05       7.1879995E-06
  6    4      -7.6701126E-06       1.4440930E-06
  6    5      -1.2650068E-06      -4.3178186E-07
  6    6       7.1148276E-07       5.1304161E-09
  7    0       4.5119327E-03       0.0000000E+00
  7    1      -1.0211377E-04      -2.2002115E-05
  7    2      -1.6116819E-04      -9.2698470E-06
  7    3       5.9403244E-06       1.2880496E-06
  7    4       3.2338592E-06       4.3427740E-07
  7    5      -3.4328154E-07      -5.8656104E-08
  7    6      -9.0380756E-08      -2.4245908E-08
  7    7       3.8713434E-08       7.6377900E-09
  8    0       6.3728683E-04       0.0000000E+00
  8    1       5.7518580E-04       2.9972052E-05
  8    2      -1.8313460E-05       1.1951579E-05
  8    3      -8.8294722E-06      -1.4055646E-06
  8    4       3.5140514E-07      -2.8882195E-07
  8    5       1.6464255E-07       4.4040109E-08
  8    6      -1.2532271E-08       4.1489415E-09
  8    7      -4.4067029E-09      -1.6733331E-09
  8    8       1.3302517E-09       2.8348265E-10
  9    0      -2.0675658E-03       0.0000000E+00
  9    1      -1.2953279E-04      -6.9292564E-06
  9    2       4.6370718E-05       1.1663893E-06
  9    3       8.4265471E-07       2.4485972E-07
  9    4      -5.6836286E-07      -5.1323259E-08
  9    5       6.0302668E-09      -4.8704423E-09
  9    6       8.5368893E-09       1.9664473E-09
  9    7      -6.1404241E-10       3.5241740E-11
  9    8      -1.9174476E-10      -8.5869226E-11
  9    9       6.5275374E-11       1.3504734E-11
 10    0       4.3500121E-04       0.0000000E+00
 10    1      -1.9993894E-04      -6.6790280E-06
 10    2      -7.8035575E-06      -4.5281509E-06
 10    3       2.0713134E-06       2.2383630E-07
 10    4       6.6563773E-08       7.7780726E-08
 10    5      -2.5184026E-08      -5.0278782E-09
 10    6      -3.8000442E-10      -9.8861850E-10
 10    7       3.7834227E-10       1.1872221E-10
 10    8      -9.4624005E-12       8.0041239E-12
 10    9      -8.2147659E-12      -3.7561289E-12
 10   10       1.7615317E-12       8.1693461E-13
