 Not Normalized
r        528.353748
Mass:               449091415149.234794
 n:		m:		C:		S:
  0    0       1.0000000E+00       0.0000000E+00
  1    0       5.2241779E-06       0.0000000E+00
  1    1       2.9291424E-04       1.2504430E-04
  2    0      -3.8386043E-02       0.0000000E+00
  2    1      -7.0116397E-05      -4.8816645E-04
  2    2      -1.5880408E-03      -1.0842433E-03
  3    0       1.7175860E-03       0.0000000E+00
  3    1       2.9068451E-03       3.0404999E-03
  3    2       5.2095414E-04      -1.2749393E-03
  3    3       1.3301148E-04      -2.7938197E-04
  4    0       2.2203558E-02       0.0000000E+00
  4    1       2.1239947E-03       1.0433789E-03
  4    2      -7.1332736E-05       4.1966775E-05
  4    3      -7.1521471E-06      -9.7093286E-06
  4    4      -1.2078001E-05      -1.2651731E-06
  5    0       6.0299541E-05       0.0000000E+00
  5    1       3.7202410E-04       2.3692926E-04
  5    2       1.0089435E-05       9.6725144E-05
  5    3      -1.4930393E-05       2.8660434E-06
  5    4      -1.5866265E-06      -2.2547002E-06
  5    5      -5.0325354E-09      -1.8756206E-07
  6    0      -7.4489470E-03       0.0000000E+00
  6    1      -6.7801906E-04       3.8136445E-04
  6    2      -4.7899412E-05      -1.4326652E-05
  6    3      -2.5350164E-06       6.0408993E-06
  6    4      -5.6789764E-08       4.5183994E-08
  6    5       4.0404003E-08       5.2825376E-08
  6    6       7.2877304E-08       3.5105195E-08
  7    0      -4.7374255E-04       0.0000000E+00
  7    1       1.4793146E-04       3.2104807E-04
  7    2       1.9729669E-05      -3.1901365E-05
  7    3       3.7931209E-07      -2.0726409E-06
  7    4      -1.5291234E-07      -1.1064798E-07
  7    5      -6.1061479E-08       2.4511755E-08
  7    6       1.4782762E-09       7.1500468E-11
  7    7      -5.4747326E-10       2.6123181E-09
  8    0       3.6111859E-03       0.0000000E+00
  8    1       1.5436955E-04       5.6152956E-05
  8    2      -6.7391563E-06       4.0760889E-06
  8    3       1.3863305E-07      -1.0363142E-06
  8    4      -6.0436525E-08       3.1670965E-08
  8    5       1.2545161E-08      -1.1776659E-08
  8    6      -3.7086660E-09      -3.0165762E-09
  8    7       3.3825506E-10      -5.8624043E-10
  8    8       4.8475719E-12      -1.9470664E-10
  9    0       1.6266944E-04       0.0000000E+00
  9    1      -2.0211072E-05       2.3442734E-05
  9    2       1.0874911E-06       1.3062996E-05
  9    3      -5.8249129E-07       2.3509358E-07
  9    4      -2.8416023E-08       7.5835186E-11
  9    5       6.1116933E-09      -8.1789941E-09
  9    6       3.5593084E-10       3.3559291E-11
  9    7      -1.7925642E-11      -6.4800629E-12
  9    8       1.0426738E-11      -1.7069733E-12
  9    9       6.9195046E-12      -1.5544651E-11
 10    0      -2.3954164E-03       0.0000000E+00
 10    1      -1.4198514E-04       5.0412258E-05
 10    2      -8.8555476E-06      -2.3414694E-07
 10    3      -7.3654529E-08       3.0845369E-07
 10    4       6.5990421E-09      -1.2725049E-08
 10    5       1.1581513E-09       1.5720001E-09
 10    6       6.6117032E-10       1.5848244E-10
 10    7      -6.5908179E-11       3.4174761E-11
 10    8      -2.2818830E-12       8.6641115E-12
 10    9      -5.7409967E-13       1.2744780E-12
 10   10       3.2376407E-13      -2.1657555E-13
