 Not Normalized
r     290969.400206
Mass:      265423914623368977941.745788
 n:		m:		C:		S:
  0    0       1.0000000E+00       0.0000000E+00
  1    0       1.2529019E-02       0.0000000E+00
  1    1       1.1234179E-04       1.7067869E-03
  2    0      -7.1578149E-02       0.0000000E+00
  2    1      -3.2462087E-04      -1.5006297E-03
  2    2       2.2616832E-03      -2.3404627E-03
  3    0       4.0334956E-03       0.0000000E+00
  3    1      -8.6420245E-04       1.3191716E-04
  3    2      -2.4657542E-04       1.5307295E-04
  3    3      -6.5599704E-05      -5.1435969E-05
  4    0       1.0766255E-02       0.0000000E+00
  4    1       7.1227644E-04       1.1059243E-04
  4    2      -8.5264299E-05      -9.7034550E-06
  4    3      -1.0128104E-05       2.9248254E-05
  4    4      -6.6594774E-06      -3.6720909E-06
  5    0      -3.1350663E-03       0.0000000E+00
  5    1       5.0376386E-05      -3.3204224E-05
  5    2       3.1181446E-05       2.2810470E-05
  5    3       7.9785955E-06       5.3918585E-06
  5    4       6.3928996E-07       3.2474837E-06
  5    5      -5.4817241E-08       1.0681807E-07
  6    0      -1.1565748E-03       0.0000000E+00
  6    1      -2.5490713E-04       2.4065449E-04
  6    2      -7.6191873E-06       3.9595116E-06
  6    3      -1.5216999E-07      -4.4687384E-06
  6    4       7.2534183E-07      -1.3527466E-07
  6    5      -8.0282158E-08       6.8564014E-08
  6    6       7.7069900E-09      -8.5524575E-09
  7    0       8.4838732E-04       0.0000000E+00
  7    1       1.0565488E-04      -2.1483653E-04
  7    2       1.4569323E-05      -1.6700815E-05
  7    3      -2.0185958E-06      -3.7364799E-07
  7    4      -4.5482215E-08      -5.1015510E-08
  7    5      -1.4643976E-08      -2.9784326E-08
  7    6       6.3590109E-09      -3.4032820E-09
  7    7       1.3442558E-09      -1.0946998E-09
  8    0      -4.9572663E-05       0.0000000E+00
  8    1       1.1256419E-05      -5.4493163E-05
  8    2      -2.2089107E-06       4.3391017E-06
  8    3       3.6277513E-07      -3.9080972E-07
  8    4      -8.6130754E-08      -3.5899823E-08
  8    5       8.0022167E-09      -4.5501515E-09
  8    6      -2.0793966E-09      -8.5601404E-10
  8    7       2.6618364E-10       1.3015295E-10
  8    8       3.0220268E-11      -3.4227073E-11
  9    0      -1.8584129E-04       0.0000000E+00
  9    1      -5.6881850E-05       1.2100232E-04
  9    2      -8.6112180E-06       4.9027070E-06
  9    3       5.4402220E-07       2.4425525E-07
  9    4      -3.1418928E-08      -2.3190255E-08
  9    5       2.3942082E-09       5.0363438E-09
  9    6      -2.3026850E-10       2.5248283E-10
  9    7       4.0948696E-12       9.2604331E-12
  9    8       2.2363857E-12      -1.3304569E-11
  9    9       1.3916131E-12      -3.7610487E-12
 10    0       1.5352154E-04       0.0000000E+00
 10    1       3.5186849E-05       4.5357640E-06
 10    2       2.5284524E-06      -2.1331395E-06
 10    3      -1.7930031E-07       3.3334833E-07
 10    4       1.3251033E-08       1.9251369E-08
 10    5      -1.3172419E-09       3.5309348E-10
 10    6       3.1775531E-10       1.2993341E-10
 10    7       6.1020321E-12      -1.8115045E-11
 10    8      -1.1521637E-12       5.7661432E-13
 10    9       2.2617231E-13       3.5561983E-13
 10   10      -3.5608740E-14      -7.3931586E-14
