 Not Normalized
r      67549.506292
Mass:        1683479376711033640.082215
 n:		m:		C:		S:
  0    0       1.0000000E+00       0.0000000E+00
  1    0       1.2437642E-09       0.0000000E+00
  1    1      -2.5958401E-09       1.1651801E-09
  2    0      -6.8716002E-02       0.0000000E+00
  2    1       2.4290593E-03       1.9835905E-03
  2    2      -2.7777103E-03       1.5824386E-02
  3    0       4.2952785E-03       0.0000000E+00
  3    1       5.1498893E-03       2.3418744E-03
  3    2       1.6071091E-04      -9.2908188E-05
  3    3       1.0840358E-03       7.7880974E-05
  4    0       9.9186759E-03       0.0000000E+00
  4    1       6.1461802E-04      -1.3915607E-03
  4    2       4.3976596E-04      -6.2527027E-04
  4    3      -7.6346719E-05      -1.1014313E-04
  4    4      -6.3024229E-05      -3.3276581E-05
